precio_pen,precio_usd,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,num_visualizaciones,fecha_pub,distrito,nivel_socioeconomico,URL,direccion_completa
2200.0,,,83.0,3.0,2.0,,12.0,155.0,2026-03-01,san miguel,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-san-miguel-lima-149123355.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=4,"padre urraca 111, san miguel"
1800.0,,210.0,69.0,3.0,2.0,,6.0,185.0,2026-02-28,brena,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-cercado-de-lima-limite-149122221.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=5,"av venezuela 1839, brena"
1700.0,505.0,,54.0,1.0,1.0,,50.0,141.0,2026-02-28,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-funcional-dpto-flat-amoblado-en-cercado-de-149118819.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=6,"av petit thouars 99x, lima cercado"
3800.0,1120.0,350.0,88.0,3.0,3.0,1.0,1.0,96.0,2026-03-02,surco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-3-habitaciones-frente-al-jockey-149133678.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=7,"jr republica del libano al 100, santiago de surco"
2000.0,,250.0,50.0,1.0,2.0,1.0,11.0,386.0,2026-02-12,magdalena,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-en-magdalena-50-m-sup2--estacionamiento-148948777.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=8,"av brasilcuadra 30 magdalena lima, magdalena"
5500.0,1650.0,550.0,140.0,3.0,2.0,1.0,10.0,146.0,2026-01-14,surco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-3-dorm.-vista-hipodromo-u-145168842.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=9,"av manuel olguin, santiago de surco"
8500.0,2500.0,980.0,220.0,3.0,3.0,2.0,5.0,86.0,2025-12-01,surco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-3-dorm.-u.-lima-roosevelt-148211631.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=10,"av circunvalacion el club el golf los incas 148, santiago de surco"
5650.0,1650.0,550.0,140.0,3.0,2.0,1.0,10.0,148.0,2026-02-03,surco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-140-m-sup2--3dorm.-en-alquiler-amoblado-148846552.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=11,"av manuel olguin 790, santiago de surco"
3400.0,1000.0,450.0,103.0,1.0,1.0,1.0,4.0,,2026-03-04,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-magdalena-149159491.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=12,"uan nolberto elespuru al 700, lima"
3500.0,,380.0,90.0,2.0,2.0,1.0,4.0,97.0,2026-02-18,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-miraflores-90-m-02-dorm.-01-cochera-amoblado-y-148999958.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=13,"grimaldo del solar, lima"
4355.0,1300.0,,100.0,1.0,2.0,1.0,0.0,,2026-01-14,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-san-isidro-centro-financiero-alquiler-duplex-con-148643188.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=14,"san isidro av rivera navarrete 546, lima"
2399.0,,,73.0,3.0,2.0,1.0,0.0,180.0,2026-02-10,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-de-estreno-03-dorm.-148924040.html?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=15,"republica de venezuela al 2500, lima cercado"
